Type,Air Temperature,Process Temperature,Rotational Speed,Torque,Tool Wear,Target,Failure Type,Temperature Difference,Power
M,298.8,308.7,1498,39.5,89,1,No Failure,9.899999999999977,6196.372623105
M,298.8,308.6,1486,41.9,92,1,No Failure,9.800000000000011,6520.207993467
L,298.8,308.6,1680,29.4,95,1,No Failure,9.800000000000011,5172.3181389599995
L,298.8,308.6,1431,45.7,97,1,No Failure,9.800000000000011,6848.3264018085
L,298.9,308.7,1564,34.1,99,1,No Failure,9.800000000000011,5584.955861562
L,298.8,308.6,1599,33.0,101,1,No Failure,9.800000000000011,5525.747312085
M,298.8,308.6,1707,28.1,103,1,No Failure,9.800000000000011,5023.061072158501
L,298.7,308.5,1467,40.7,106,1,No Failure,9.800000000000011,6252.4919398095
L,298.9,308.7,1433,44.7,108,1,No Failure,9.800000000000011,6707.834378500501
L,298.9,308.7,1558,41.2,110,1,No Failure,9.800000000000011,6721.919185548
L,299.0,308.8,1310,50.7,112,1,No Failure,9.800000000000011,6955.171967835
L,298.9,308.7,1546,43.4,114,1,No Failure,9.800000000000011,7026.318569382
L,298.9,308.7,1727,29.4,116,1,No Failure,9.800000000000011,5317.019896418999
L,298.9,308.6,1560,32.2,118,1,No Failure,9.700000000000045,5260.282733160001
L,299.0,308.6,1329,60.5,120,1,No Failure,9.600000000000023,8419.9395408975
L,298.9,308.6,1413,46.5,122,1,No Failure,9.700000000000045,6880.5591423975
L,299.0,308.6,1587,38.6,124,1,No Failure,9.600000000000023,6414.943695741001
L,298.9,308.5,1559,34.3,126,1,No Failure,9.600000000000023,5599.7527629435
L,298.8,308.4,1473,41.1,128,1,No Failure,9.599999999999966,6339.7653836265
L,298.8,308.4,1737,27.7,130,1,No Failure,9.599999999999966,5038.5805398495
M,298.7,308.4,1441,43.2,132,1,No Failure,9.699999999999989,6518.930412456
M,298.7,308.4,1430,49.6,135,1,No Failure,9.699999999999989,7427.56278264
L,298.8,308.4,1369,53.0,138,1,No Failure,9.599999999999966,7598.151263535
M,298.8,308.5,1711,28.5,140,1,No Failure,9.699999999999989,5106.5017729425
H,298.7,308.5,1420,45.7,143,1,No Failure,9.800000000000011,6795.683780970001
L,298.7,308.6,1297,55.3,148,1,No Failure,9.900000000000034,7510.930179595499
H,298.8,308.6,1449,49.4,150,1,No Failure,9.800000000000011,7495.902894752999
L,298.8,308.6,1268,55.8,155,1,No Failure,9.800000000000011,7409.383433171999
L,298.8,308.6,1511,36.1,157,1,No Failure,9.800000000000011,5712.1589479605
L,298.7,308.5,1544,35.2,159,1,No Failure,9.800000000000011,5691.393020544
M,298.6,308.4,1778,28.2,161,1,No Failure,9.799999999999955,5250.606627798
H,298.6,308.4,1407,50.5,164,1,No Failure,9.799999999999955,7440.7051118925
M,298.6,308.4,1391,42.4,169,1,No Failure,9.799999999999955,6176.203598292
L,298.5,308.4,1513,33.6,172,1,No Failure,9.899999999999977,5323.617240984
H,298.5,308.4,1612,36.1,174,1,No Failure,9.899999999999977,6093.9776466660005
L,298.4,308.4,1515,40.1,179,1,No Failure,10.0,6361.8821958825
M,298.3,308.3,1379,48.0,181,1,No Failure,10.0,6931.61002296
L,298.4,308.3,1473,39.9,184,1,No Failure,9.900000000000034,6154.6627446884995
L,298.4,308.3,1422,42.7,186,1,No Failure,9.900000000000034,6358.5206917470005
M,298.4,308.2,1463,37.6,188,1,No Failure,9.800000000000011,5760.5080588440005
M,298.4,308.2,1584,41.0,191,1,No Failure,9.800000000000011,6800.919768719999
L,298.4,308.2,1850,27.0,194,1,No Failure,9.800000000000011,5230.75176225
L,298.4,308.2,1528,36.2,196,1,No Failure,9.800000000000011,5792.426640168001
H,298.4,308.2,1987,19.8,198,1,No Failure,9.800000000000011,4119.947433063
M,298.4,308.1,1495,46.0,203,1,No Failure,9.700000000000045,7201.57755135
H,298.4,308.2,1478,43.5,206,1,No Failure,9.800000000000011,6732.747208215
M,298.4,308.2,1499,40.0,211,1,No Failure,9.800000000000011,6278.9965098
L,298.4,308.2,1471,47.0,214,1,No Failure,9.800000000000011,7240.009701434999
L,298.4,308.2,1282,60.7,216,0,Overstrain Failure,9.800000000000011,8149.019062737001
L,298.3,308.1,1412,52.3,218,0,Overstrain Failure,9.800000000000011,7733.302579337999
L,298.3,308.1,1586,35.5,0,1,No Failure,9.800000000000011,5896.036365765
M,298.4,308.2,1468,43.8,2,1,No Failure,9.800000000000011,6733.312694891999
M,298.5,308.3,1440,43.6,5,1,No Failure,9.800000000000011,6574.72509792
L,298.5,308.4,1733,26.0,8,1,No Failure,9.899999999999977,4718.46272079
H,298.4,308.2,1612,32.6,10,1,No Failure,9.800000000000011,5503.148788956
H,298.4,308.3,1458,42.9,15,1,No Failure,9.900000000000034,6550.032179690999
L,298.4,308.3,1433,62.3,20,0,Power Failure,9.900000000000034,9348.9503754045
L,298.4,308.3,1318,59.1,22,1,No Failure,9.900000000000034,8157.019652019
M,298.4,308.2,1610,35.0,24,1,No Failure,9.800000000000011,5900.95819425
L,298.2,308.1,1462,50.8,27,1,No Failure,9.900000000000034,7777.494315947999
M,298.1,308.0,1924,20.8,29,1,No Failure,9.899999999999977,4190.800819296001
M,298.2,308.0,1591,33.7,32,1,No Failure,9.800000000000011,5614.7276879085
L,298.2,308.1,1306,58.3,35,1,No Failure,9.900000000000034,7973.341201749
L,298.2,308.1,1382,43.5,37,1,No Failure,9.900000000000034,6295.437511335
L,298.2,308.1,1618,34.7,39,1,No Failure,9.900000000000034,5879.4487565730005
L,298.2,308.2,1988,21.4,41,1,No Failure,10.0,4455.113480915999
L,298.2,308.2,1436,50.2,43,1,No Failure,10.0,7548.953922635999
L,298.2,308.3,1304,49.8,45,1,No Failure,10.100000000000023,6800.417113895999
L,298.2,308.3,1475,49.9,47,1,No Failure,10.100000000000023,7707.6357673875
H,298.2,308.3,1824,24.2,49,1,No Failure,10.100000000000023,4622.413761503999
M,298.1,308.2,1342,48.1,54,1,No Failure,10.099999999999966,6759.681129201001
L,298.1,308.2,1485,40.7,57,1,No Failure,10.099999999999966,6329.2096323225005
L,298.2,308.2,1667,30.6,59,1,No Failure,10.0,5341.775646501001
L,298.2,308.2,1446,38.2,61,1,No Failure,10.0,5784.426050886001
L,298.1,308.3,1301,56.0,63,1,No Failure,10.199999999999989,7629.46247028
L,298.2,308.4,1379,43.1,65,1,No Failure,10.199999999999989,6224.0081664495
L,298.3,308.5,1606,33.6,67,1,No Failure,10.199999999999989,5650.845531408
M,298.3,308.4,1539,43.4,69,1,No Failure,10.099999999999966,6994.504707812999
L,298.2,308.4,1477,49.9,72,1,No Failure,10.199999999999989,7718.0867989365
L,298.2,308.4,1666,34.6,74,1,No Failure,10.199999999999989,6036.423669318
H,298.2,308.4,1398,51.8,76,1,No Failure,10.199999999999989,7583.427665981999
H,298.2,308.4,1678,34.6,81,1,No Failure,10.199999999999989,6079.903311594
M,298.2,308.5,2678,10.7,86,0,Power Failure,10.300000000000011,3000.7026916229997
L,298.3,308.5,1453,42.9,89,1,No Failure,10.199999999999989,6527.569792243499
H,298.3,308.6,1432,49.5,91,1,No Failure,10.300000000000011,7422.95511342
M,298.4,308.6,1527,40.9,96,1,No Failure,10.200000000000045,6540.1989946964995
L,298.4,308.7,1588,35.0,99,1,No Failure,10.300000000000011,5820.3239828999995
L,298.4,308.6,1433,47.1,101,1,No Failure,10.200000000000045,7067.9865598965
L,298.4,308.6,1609,35.0,103,1,No Failure,10.200000000000045,5897.293002825
L,298.3,308.5,1575,41.2,105,1,No Failure,10.199999999999989,6795.26490195
M,298.4,308.5,1636,35.7,107,1,No Failure,10.100000000000023,6116.1782347260005
L,298.4,308.5,1490,37.9,110,1,No Failure,10.100000000000023,5913.629284605
L,298.4,308.5,1741,32.8,112,1,No Failure,10.100000000000023,5980.000665324
M,298.5,308.6,1344,53.0,114,1,No Failure,10.100000000000023,7459.39758816
L,298.5,308.7,1609,35.3,117,1,No Failure,10.199999999999989,5947.8412285634995
M,298.4,308.7,1421,60.7,119,0,Power Failure,10.300000000000011,9032.5710515985
L,298.4,308.6,1591,36.7,122,1,No Failure,10.200000000000045,6114.5550785235
L,298.4,308.6,1477,44.0,124,1,No Failure,10.200000000000045,6805.52743794
L,298.4,308.7,1523,36.1,126,1,No Failure,10.300000000000011,5757.523545826501
L,298.5,308.7,1575,33.9,128,1,No Failure,10.199999999999989,5591.2495188375
H,298.4,308.7,1344,52.9,130,1,No Failure,10.300000000000011,7445.323253087999
L,298.4,308.7,1386,44.9,135,1,No Failure,10.300000000000011,6516.856961307
M,298.3,308.6,1589,37.1,137,1,No Failure,10.300000000000011,6173.4285247845
L,298.3,308.6,1548,40.3,140,1,No Failure,10.300000000000011,6532.879083821999
L,298.3,308.6,1499,38.3,142,1,No Failure,10.300000000000011,6012.139158133499
L,298.3,308.5,1664,31.6,144,1,No Failure,10.199999999999989,5506.416045312
L,298.3,308.6,1447,38.1,146,1,No Failure,10.300000000000011,5773.2733969785
M,298.3,308.5,1434,46.2,148,1,No Failure,10.199999999999989,6937.767544554
L,298.3,308.5,1416,52.7,151,1,No Failure,10.199999999999989,7814.523221316
H,298.4,308.5,1827,24.3,153,1,No Failure,10.100000000000023,4649.1487149555
L,298.4,308.6,1304,45.0,158,1,No Failure,10.200000000000045,6144.9552234
L,298.4,308.6,1569,34.4,160,1,No Failure,10.200000000000045,5652.102168468
L,298.3,308.6,1584,29.3,162,1,No Failure,10.300000000000011,4860.169493256
L,298.3,308.5,1362,53.8,164,1,No Failure,10.199999999999989,7673.402879477999
L,298.3,308.4,1329,49.2,166,1,No Failure,10.099999999999966,6847.289676234001
L,298.3,308.5,1539,36.1,168,1,No Failure,10.199999999999989,5818.0096763145
M,298.3,308.5,1629,37.1,170,1,No Failure,10.199999999999989,6328.8326412045
L,298.3,308.5,1538,32.2,173,1,No Failure,10.199999999999989,5186.099258718001
L,298.3,308.6,1570,34.8,175,1,No Failure,10.300000000000011,5721.46853418
L,298.3,308.4,1408,43.1,177,1,No Failure,10.099999999999966,6354.897388224
L,298.2,308.4,1424,47.6,179,1,No Failure,10.199999999999989,7098.156321312001
L,298.2,308.4,1512,34.9,181,1,No Failure,10.199999999999989,5525.935807643999
L,298.2,308.4,1478,42.9,183,1,No Failure,10.199999999999989,6639.881729481
M,298.1,308.3,1680,33.7,185,1,No Failure,10.199999999999989,5928.813649080001
L,298.1,308.3,1495,38.7,188,1,No Failure,10.199999999999989,6058.718505157501
M,298.0,308.1,1552,36.6,190,1,No Failure,10.100000000000023,5948.4171872160005
L,297.9,308.1,1393,50.3,193,1,No Failure,10.200000000000045,7337.493321364499
L,298.0,308.2,1611,30.6,195,1,No Failure,10.199999999999989,5162.327874333
M,298.0,308.1,1339,51.6,197,1,No Failure,10.100000000000023,7235.339200362001
L,298.0,308.1,1777,24.3,200,1,No Failure,10.100000000000023,4521.9142126305
L,298.0,308.2,1348,58.8,202,0,Overstrain Failure,10.199999999999989,8300.339108712
L,298.0,308.2,1442,44.1,204,1,No Failure,10.199999999999989,6659.359603911001
M,298.0,308.2,1395,49.1,206,1,No Failure,10.199999999999989,7172.7272588475
M,297.9,308.1,1627,31.4,209,1,No Failure,10.200000000000045,5349.901899488999
L,297.9,308.1,1585,33.5,212,1,No Failure,10.200000000000045,5560.3571911125
L,298.0,308.2,1469,45.5,214,1,No Failure,10.199999999999989,6999.4160643225
L,298.0,308.3,1362,56.8,216,0,Overstrain Failure,10.300000000000011,8101.287798407999
L,298.0,308.3,1405,56.2,218,0,Overstrain Failure,10.300000000000011,8268.776574555
L,298.0,308.3,1662,32.7,0,1,No Failure,10.300000000000011,5691.246412887
M,298.0,308.2,1466,42.6,2,1,No Failure,10.199999999999989,6539.9162513579995
L,298.0,308.2,1620,35.8,5,1,No Failure,10.199999999999989,6073.326910979999
L,298.0,308.2,1357,48.2,7,1,No Failure,10.199999999999989,6849.446903187
L,298.0,308.2,1514,37.9,9,1,No Failure,10.199999999999989,6008.882373753
L,298.0,308.2,1489,40.4,11,1,No Failure,10.199999999999989,6299.479693878
L,298.1,308.3,1331,63.0,13,1,No Failure,10.199999999999989,8781.065616015
L,298.0,308.0,1615,29.5,15,1,No Failure,10.0,4989.1109275875
L,298.1,308.2,1482,37.9,17,1,No Failure,10.099999999999966,5881.878254888999
M,298.1,308.2,1420,63.9,19,0,Power Failure,10.099999999999966,9502.06112919
M,298.2,308.3,1522,49.1,22,1,No Failure,10.100000000000023,7825.728235101
L,298.1,308.2,1654,32.1,25,1,No Failure,10.099999999999966,5559.927840117
M,298.1,308.2,1736,26.8,27,1,No Failure,10.099999999999966,4872.065657424
M,298.0,308.1,1587,32.3,30,1,No Failure,10.100000000000023,5367.945113275499
L,298.1,308.2,1390,47.5,33,1,No Failure,10.099999999999966,6914.121823875
L,298.0,308.1,1454,37.1,35,1,No Failure,10.100000000000023,5648.939631867
H,298.0,308.1,1440,43.7,37,1,No Failure,10.100000000000023,6589.804742640001
L,297.9,308.0,1954,21.1,42,1,No Failure,10.100000000000023,4317.532666797
H,297.9,308.0,1800,24.8,44,1,No Failure,10.100000000000023,4674.6898632
L,298.0,308.0,1524,37.0,49,1,No Failure,10.0,5904.9375449399995
H,298.0,308.0,1520,39.6,51,1,No Failure,10.0,6303.29149296
M,298.1,308.1,1452,40.8,56,1,No Failure,10.0,6203.765837808
L,298.1,308.1,1484,40.4,59,1,No Failure,10.0,6278.326303368
L,298.1,308.0,1426,46.0,61,1,No Failure,9.899999999999977,6869.19704898
L,298.1,308.0,1652,28.5,63,1,No Failure,9.899999999999977,4930.41550491
L,298.0,308.0,1401,54.7,65,1,No Failure,10.0,8025.1670084985
M,298.0,307.9,1750,26.6,67,1,No Failure,9.899999999999977,4874.70459525
H,298.0,308.0,1479,50.7,70,1,No Failure,10.0,7852.4422446015005
M,298.0,308.0,1620,29.4,75,1,No Failure,10.0,4987.59249114
L,298.0,308.1,1819,23.4,78,1,No Failure,10.100000000000023,4457.354483673
M,298.1,308.1,1456,43.7,80,1,No Failure,10.0,6663.024795336
L,298.1,308.0,1626,36.5,83,1,No Failure,9.899999999999977,6215.012739495
M,298.1,308.1,1390,49.8,85,1,No Failure,10.0,7248.91088061
L,298.2,308.2,1469,43.0,88,1,No Failure,10.0,6614.832764085
L,298.2,308.3,2051,19.2,90,1,No Failure,10.100000000000023,4123.780176095999
L,298.2,308.3,1568,36.0,92,1,No Failure,10.100000000000023,5911.22073024
L,298.2,308.3,1589,33.2,94,1,No Failure,10.100000000000023,5524.469731074
L,298.2,308.3,1805,31.6,96,1,No Failure,10.100000000000023,5973.0053856899995
H,298.2,308.4,1385,42.2,98,1,No Failure,10.199999999999989,6120.555520485001
L,298.1,308.4,1436,46.7,103,1,No Failure,10.299999999999955,7022.632434005999
L,298.1,308.4,1438,45.6,105,1,No Failure,10.299999999999955,6866.767550664
L,298.0,308.3,1473,42.6,107,1,No Failure,10.300000000000011,6571.143682299
L,298.1,308.4,1335,40.2,109,1,No Failure,10.299999999999955,5619.995091585
H,298.1,308.5,1392,44.8,111,1,No Failure,10.399999999999977,6530.491473407999
M,298.1,308.5,1372,51.1,116,1,No Failure,10.399999999999977,7341.818247245999
M,298.1,308.6,1716,30.7,119,1,No Failure,10.5,5516.762357105999
L,298.0,308.5,1395,46.2,122,1,No Failure,10.5,6749.0834899950005
L,298.0,308.5,1713,25.3,124,1,No Failure,10.5,4538.4389899695
H,297.9,308.5,2129,18.7,126,1,No Failure,10.600000000000023,4169.1343019865
M,297.8,308.3,1567,35.6,131,1,No Failure,10.5,5841.812476626001
L,297.8,308.4,1622,38.3,134,1,No Failure,10.599999999999966,6505.463451963
L,297.7,308.4,1740,27.1,136,1,No Failure,10.699999999999989,4937.9553272699995
H,297.8,308.4,1512,35.1,138,1,No Failure,10.599999999999966,5557.603061556
M,297.8,308.4,1479,43.5,143,1,No Failure,10.599999999999966,6737.302517557499
L,297.8,308.4,1737,27.5,146,1,No Failure,10.599999999999966,5002.2008969625
L,297.8,308.4,2129,19.2,148,1,No Failure,10.599999999999966,4280.608481183999
L,297.8,308.4,1374,47.1,150,1,No Failure,10.599999999999966,6776.980832727
M,297.8,308.4,1579,36.6,152,1,No Failure,10.599999999999966,6051.901249107
L,297.9,308.5,1305,47.2,155,1,No Failure,10.600000000000023,6450.31802898
M,297.9,308.5,1449,40.8,157,1,No Failure,10.600000000000023,6190.948139796
H,298.0,308.6,1526,41.8,160,1,No Failure,10.600000000000023,6679.738068233999
M,298.0,308.6,1453,44.1,165,1,No Failure,10.600000000000023,6710.1591570615
L,297.9,308.6,1468,36.0,168,1,No Failure,10.700000000000045,5534.22961224
L,298.0,308.6,1313,50.8,170,1,No Failure,10.600000000000023,6984.849546401999
M,297.9,308.5,1300,53.0,172,1,No Failure,10.600000000000023,7215.1911195
L,297.9,308.4,1646,40.6,175,1,No Failure,10.5,6998.169899238001
L,297.8,308.4,1714,33.2,177,1,No Failure,10.599999999999966,5959.0567143240005
L,297.8,308.4,1685,28.4,179,1,No Failure,10.599999999999966,5011.25915577
L,297.8,308.4,1512,39.9,181,1,No Failure,10.599999999999966,6317.617155444
L,297.8,308.4,1612,32.1,183,1,No Failure,10.599999999999966,5418.744666426001
H,297.8,308.4,1550,38.2,185,1,No Failure,10.599999999999966,6200.456693550001
L,297.8,308.4,1518,32.5,190,1,No Failure,10.599999999999966,5166.349112925
L,297.8,308.5,1448,40.0,192,1,No Failure,10.699999999999989,6065.3682096
L,297.8,308.5,1561,46.3,194,1,No Failure,10.699999999999989,7568.546988796498
M,297.8,308.5,1488,41.9,196,1,No Failure,10.699999999999989,6528.983508935999
L,297.8,308.5,1699,27.8,199,1,No Failure,10.699999999999989,4946.144412111001
L,297.7,308.5,1501,41.4,201,1,No Failure,10.800000000000011,6507.432183357
L,297.7,308.5,1373,56.7,203,0,Overstrain Failure,10.800000000000011,8152.3386789705
H,297.6,308.4,1703,31.4,205,1,No Failure,10.799999999999955,5599.805122821
H,297.7,308.5,1720,29.9,210,1,No Failure,10.800000000000011,5385.52756014
M,297.6,308.4,1398,41.9,215,1,No Failure,10.799999999999955,6134.085312831
M,297.6,308.4,1391,51.9,218,1,No Failure,10.799999999999955,7560.022800739499
M,297.6,308.3,1538,40.2,0,1,No Failure,10.699999999999989,6474.571124238
L,297.5,308.2,1647,31.3,3,1,No Failure,10.699999999999989,5398.418561980499
M,297.5,308.1,1469,44.8,5,1,No Failure,10.600000000000023,6891.7327402559995
L,297.4,308.1,1749,25.9,8,1,No Failure,10.700000000000045,4743.7106537205
M,297.6,308.2,1995,20.5,10,1,No Failure,10.599999999999966,4282.7761801125
